area_fips,own_code,industry_code,agglvl_code,size_code,year,qtr,disclosure_code,qtrly_estabs,month1_emplvl,month2_emplvl,month3_emplvl,total_qtrly_wages,taxable_qtrly_wages,qtrly_contributions,avg_wkly_wage,lq_disclosure_code,lq_qtrly_estabs,lq_month1_emplvl,lq_month2_emplvl,lq_month3_emplvl,lq_total_qtrly_wages,lq_taxable_qtrly_wages,lq_qtrly_contributions,lq_avg_wkly_wage,oty_disclosure_code,oty_qtrly_estabs_chg,oty_qtrly_estabs_pct_chg,oty_month1_emplvl_chg,oty_month1_emplvl_pct_chg,oty_month2_emplvl_chg,oty_month2_emplvl_pct_chg,oty_month3_emplvl_chg,oty_month3_emplvl_pct_chg,oty_total_qtrly_wages_chg,oty_total_qtrly_wages_pct_chg,oty_taxable_qtrly_wages_chg,oty_taxable_qtrly_wages_pct_chg,oty_qtrly_contributions_chg,oty_qtrly_contributions_pct_chg,oty_avg_wkly_wage_chg,oty_avg_wkly_wage_pct_chg
39041,0,10,70,0,2020,1,,5791,87877,88082,87534,1472961797,559214596,10472596,1290,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,228,4.1,77,0.1,743,0.9,-346,-0.4,49528212,3.5,-17327561,-3.0,-606299,-5.5,41,3.3
39041,1,10,71,0,2020,1,,16,238,236,240,3400483,0,0,1099,,0.47,0.14,0.14,0.14,0.1,0.0,0.0,0.68,,0,0.0,3,1.3,-12,-4.8,-14,-5.5,-178453,-5.0,0,0.0,0,0.0,-22,-2.0
39041,1,102,72,0,2020,1,,16,238,236,240,3400483,0,0,1099,,0.47,0.14,0.14,0.14,0.1,0.0,0.0,0.68,,0,0.0,3,1.3,-12,-4.8,-14,-5.5,-178453,-5.0,0,0.0,0,0.0,-22,-2.0
39041,1,1021,73,0,2020,1,,9,195,190,192,2538387,0,0,1015,,0.53,0.49,0.48,0.49,0.41,0.0,0.0,0.84,,0,0.0,7,3.7,-9,-4.5,-13,-6.3,-113027,-4.3,0,0.0,0,0.0,-19,-1.8
39041,1,1024,73,0,2020,1,,1,10,11,12,153103,0,0,1071,,1.22,0.25,0.27,0.3,0.17,0.0,0.0,0.63,,0,0.0,1,11.1,0,0.0,1,9.1,-16699,-9.8,0,0.0,0,0.0,-193,-15.3
39041,1,1028,73,0,2020,1,,6,33,35,36,708993,0,0,1573,,0.42,0.04,0.04,0.04,0.03,0.0,0.0,0.87,,0,0.0,-5,-13.2,-3,-7.9,-2,-5.3,-48727,-6.4,0,0.0,0,0.0,39,2.5
39041,1,48-49,74,0,2020,1,,9,195,190,192,2538387,0,0,1015,,0.55,0.53,0.52,0.53,0.44,0.0,0.0,0.83,,0,0.0,7,3.7,-9,-4.5,-13,-6.3,-113027,-4.3,0,0.0,0,0.0,-19,-1.8
39041,1,491,75,0,2020,1,,9,195,190,192,2538387,0,0,1015,,0.55,0.54,0.54,0.54,0.46,0.0,0.0,0.85,,0,0.0,7,3.7,-9,-4.5,-13,-6.3,-113027,-4.3,0,0.0,0,0.0,-19,-1.8
39041,1,4911,76,0,2020,1,,9,195,190,192,2538387,0,0,1015,,0.55,0.54,0.54,0.54,0.46,0.0,0.0,0.85,,0,0.0,7,3.7,-9,-4.5,-13,-6.3,-113027,-4.3,0,0.0,0,0.0,-19,-1.8
39041,1,49111,77,0,2020,1,,9,195,190,192,2538387,0,0,1015,,0.55,0.54,0.54,0.54,0.46,0.0,0.0,0.85,,0,0.0,7,3.7,-9,-4.5,-13,-6.3,-113027,-4.3,0,0.0,0,0.0,-19,-1.8
